symboling,country,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype_gas,aspiration_turbo,doornumber_two,rank
3,7,5,2,96.5,175.4,62.5,54.1,2372,6,110,3,3.15,3.58,9.0,86,5800,27,33,1,0,0,73.0
3,7,5,2,98.8,177.8,66.5,55.5,2410,6,122,5,3.39,3.39,8.6,84,4800,26,32,1,0,0,50.0
6,7,4,3,95.3,169.0,65.7,49.6,2380,2,70,2,3.33,3.255,9.4,101,6000,17,23,1,0,1,80.0
3,7,5,2,100.4,181.7,66.5,55.1,3095,5,181,7,3.43,3.27,9.0,152,5200,17,22,1,0,0,94.5
4,7,5,2,96.3,172.4,65.4,51.6,2405,6,122,5,3.35,3.46,8.5,88,5000,25,32,1,0,0,45.0
4,4,4,2,94.5,155.9,63.6,52.0,1874,6,90,5,3.03,3.11,9.6,70,5400,38,43,1,0,1,9.0
3,7,3,1,95.7,169.7,63.6,59.1,3110,6,92,5,3.05,3.03,9.0,62,4800,27,32,1,0,0,53.0
4,7,3,2,94.5,170.2,63.8,53.5,2037,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,0,43.0
4,7,5,2,93.1,166.8,64.2,54.1,1950,6,91,5,3.08,3.15,9.0,68,5000,31,38,1,0,0,29.0
5,6,5,2,97.3,171.7,65.5,55.7,2264,6,97,6,3.01,3.4,23.0,52,4800,37,46,0,0,0,42.0
4,7,4,2,93.1,159.1,64.2,54.1,1900,6,91,5,3.03,3.15,9.0,68,5000,31,38,1,0,1,6.0
5,7,4,2,93.7,157.9,63.6,53.7,2120,6,108,5,3.62,2.64,8.7,73,4400,26,31,1,0,1,21.0
3,7,5,2,97.2,172.0,65.4,52.5,2145,6,108,5,3.62,2.64,9.5,82,4800,32,37,1,0,0,22.0
3,3,5,3,107.9,186.7,68.4,56.7,3252,6,152,6,3.7,3.52,21.0,95,4150,28,33,0,1,0,112.0
4,7,5,2,94.5,165.3,63.8,54.5,1971,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,0,31.0
3,3,5,3,107.9,186.7,68.4,56.7,3020,6,120,7,3.46,3.19,8.4,97,5000,19,24,1,0,0,82.0
3,7,3,2,97.0,173.5,65.4,53.0,2290,6,108,5,3.62,2.64,9.0,82,4800,28,32,1,0,0,30.0
3,3,3,3,114.2,198.9,68.4,58.7,3430,6,152,6,3.7,3.52,21.0,95,4150,25,25,0,1,0,98.0
6,7,4,3,102.9,183.5,67.7,52.0,2976,5,171,7,3.27,3.35,9.3,161,5200,20,24,1,0,1,109.0
4,6,5,3,103.5,189.0,66.9,55.7,3055,5,164,7,3.31,3.19,9.0,121,4250,20,25,1,0,0,129.0
4,4,5,2,93.7,157.3,63.8,50.6,2191,6,98,7,3.03,3.39,7.6,102,5500,24,30,1,1,1,52.0
3,3,5,3,107.9,186.7,68.4,56.7,3197,6,152,6,3.7,3.52,21.0,95,4150,28,33,0,1,0,90.0
5,6,5,2,97.3,171.7,65.5,55.7,2212,6,109,7,3.19,3.4,9.0,85,5250,27,34,1,0,0,46.0
6,6,1,3,89.5,168.9,65.0,51.6,2756,5,194,7,3.74,2.9,9.5,207,5900,17,25,1,0,1,136.0
5,7,4,3,96.0,172.6,65.2,51.4,2734,6,119,1,3.43,3.23,9.2,90,5000,24,29,1,0,1,77.0
3,6,5,2,100.4,180.2,66.9,55.1,2661,4,136,7,3.19,3.4,8.5,110,5500,19,24,1,0,0,91.0
2,5,5,3,109.1,188.8,68.9,55.5,2952,6,141,7,3.78,3.15,9.5,114,5400,23,28,1,0,0,111.0
3,7,5,2,95.7,166.3,64.4,52.8,2140,6,98,5,3.19,3.03,9.0,70,4800,28,34,1,0,0,61.0
3,7,5,2,98.8,177.8,66.5,55.5,2410,6,122,5,3.39,3.39,8.6,84,4800,26,32,1,0,0,72.0
4,1,4,3,94.5,171.2,65.5,52.4,2823,5,152,7,2.68,3.47,9.0,154,5000,19,26,1,0,1,106.5
4,7,4,2,98.8,177.8,66.5,53.7,2385,6,122,5,3.39,3.39,8.6,84,4800,26,32,1,0,1,54.5
2,4,3,2,103.3,174.6,64.6,59.8,2535,6,122,5,3.35,3.46,8.5,88,5000,24,30,1,0,0,56.5
6,4,4,3,95.9,173.2,66.3,50.2,2818,6,156,4,3.59,3.86,7.0,145,5000,19,24,1,1,1,86.0
3,7,5,3,94.3,170.7,61.8,53.5,2337,6,111,5,3.31,3.23,8.5,78,4800,24,29,1,0,0,17.0
5,6,5,3,101.2,176.8,64.8,54.3,2395,6,108,7,3.5,2.8,8.8,101,5800,23,29,1,0,1,105.0
3,3,3,3,114.2,198.9,68.4,58.7,3230,6,120,7,3.46,3.19,8.4,97,5000,19,24,1,0,0,84.0
3,4,5,3,120.9,208.1,71.7,56.7,3900,3,308,7,3.8,3.35,8.0,184,4500,14,16,1,0,0,143.0
1,5,5,3,104.3,188.8,67.2,56.2,2935,6,141,7,3.78,3.15,9.5,114,5400,24,28,1,0,0,104.0
5,6,5,2,97.3,171.7,65.5,55.7,2261,6,97,6,3.01,3.4,23.0,52,4800,37,46,0,0,1,35.5
4,7,4,2,95.7,158.7,63.6,54.5,1985,6,92,5,3.05,3.03,9.0,62,4800,35,39,1,0,1,2.0
5,7,1,2,95.1,162.4,63.8,53.3,2008,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,1,48.0
5,6,5,2,99.8,176.6,66.2,54.3,2337,6,109,7,3.19,3.4,10.0,102,5500,24,30,1,0,0,99.0
4,7,3,2,94.5,170.2,63.8,53.5,2024,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,0,28.0
4,4,4,2,93.7,157.3,63.8,50.8,1918,6,90,5,2.97,3.23,9.4,68,5500,37,41,1,0,1,4.5
3,7,5,2,95.7,166.3,64.4,53.0,2094,6,98,5,3.19,3.03,9.0,70,4800,38,47,1,0,0,34.0
2,5,3,3,104.3,188.8,67.2,57.5,3157,6,130,7,3.62,3.15,7.5,162,5100,17,22,1,1,0,122.0
4,7,4,2,93.1,159.1,64.2,54.1,1890,6,91,5,3.03,3.15,9.0,68,5000,30,31,1,0,1,1.0
6,1,2,3,88.6,168.8,64.1,48.8,2548,6,130,7,3.47,2.68,9.0,111,5000,21,27,1,0,1,93.0
4,7,5,2,94.5,165.3,63.8,54.5,1951,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,1,27.0
3,3,5,3,107.9,186.7,68.4,56.7,3252,6,152,6,3.7,3.52,21.0,95,4150,28,33,0,1,0,118.0
4,7,4,2,94.5,165.6,63.8,53.3,2028,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,1,38.0
3,7,4,2,98.8,177.8,66.5,55.5,2425,6,122,5,3.39,3.39,8.6,84,4800,26,32,1,0,0,78.0
3,7,5,1,97.0,172.0,65.4,54.3,2385,6,108,5,3.62,2.64,9.0,82,4800,24,25,1,0,0,60.0
3,7,5,2,96.5,175.4,65.2,54.1,2465,6,110,7,3.15,3.58,9.0,101,5800,24,28,1,0,0,88.0
3,4,1,3,106.7,187.5,70.3,54.9,3495,4,183,6,3.58,3.64,21.5,123,4350,22,25,0,1,1,131.0
3,2,5,3,102.0,191.7,70.6,47.8,3950,1,326,7,3.54,2.76,11.5,262,5000,13,17,1,0,1,140.0
3,2,5,3,113.0,199.6,69.6,52.8,4066,5,258,7,3.63,4.17,8.1,176,4750,15,19,1,0,0,139.0
4,7,5,2,96.3,172.4,65.4,51.6,2365,6,122,5,3.35,3.46,8.5,88,5000,25,32,1,0,0,20.0
2,5,5,3,109.1,188.8,68.9,55.5,3012,5,173,7,3.58,2.87,8.8,134,5500,18,23,1,0,0,126.0
3,6,5,3,101.2,176.8,64.8,54.3,2765,5,164,7,3.31,3.19,9.0,121,4250,21,28,1,0,0,125.0
3,7,3,2,95.7,169.7,63.6,59.1,2280,6,92,5,3.05,3.03,9.0,62,4800,31,37,1,0,0,19.0
4,4,4,2,93.7,157.3,63.8,50.8,2128,6,98,7,3.03,3.39,7.6,102,5500,24,30,1,1,1,40.5
6,6,4,2,94.5,165.7,64.0,51.4,2221,6,109,7,3.19,3.4,8.5,90,5500,24,29,1,0,1,69.0
5,5,5,2,99.1,186.6,66.5,56.1,2847,6,121,7,3.54,3.07,9.0,160,5500,19,26,1,1,0,121.0
3,4,5,2,94.5,158.8,63.6,52.0,1909,6,90,5,3.03,3.11,9.6,70,5400,38,43,1,0,0,11.0
3,6,5,3,103.5,189.0,66.9,55.7,3230,5,209,7,3.62,3.39,8.0,182,5400,16,22,1,0,0,133.0
5,7,4,2,93.7,157.3,64.4,50.8,2004,6,92,5,2.97,3.23,9.4,68,5500,31,38,1,0,1,13.0
3,7,5,2,97.2,173.4,65.2,54.7,2302,6,120,5,3.33,3.47,8.5,97,5200,27,34,1,0,0,67.0
4,7,4,3,94.5,168.7,64.0,52.6,2300,6,98,7,3.24,3.08,9.4,112,6600,26,29,1,0,1,66.0
2,5,5,3,109.1,188.8,68.9,55.5,3217,5,145,6,3.01,3.4,23.0,106,4800,26,27,0,1,0,127.0
4,6,5,2,105.8,192.7,71.4,55.7,2844,4,136,7,3.19,3.4,8.5,110,5500,19,25,1,0,0,116.0
2,4,3,3,110.0,190.9,70.3,58.7,3750,4,183,6,3.58,3.64,21.5,123,4350,22,25,0,1,0,132.0
6,7,4,2,95.9,173.2,66.3,50.2,2926,6,156,4,3.59,3.86,7.0,145,5000,19,24,1,1,1,101.0
4,4,5,2,93.7,167.3,63.8,50.8,1989,6,90,5,2.97,3.23,9.4,68,5500,31,38,1,0,0,14.5
3,7,4,2,95.7,166.3,64.4,52.8,2109,6,98,5,3.19,3.03,9.0,70,4800,30,37,1,0,0,24.0
5,6,5,2,97.3,171.7,65.5,55.7,2319,6,97,6,3.01,3.4,23.0,68,4500,37,42,0,1,0,65.0
3,7,5,2,95.7,166.3,64.4,53.0,2275,6,110,6,3.27,3.35,22.5,56,4500,34,36,0,0,0,39.0
4,7,5,2,94.5,165.3,63.8,54.5,1918,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,1,12.0
2,7,5,2,102.4,175.6,66.5,54.9,2414,6,122,7,3.31,3.54,8.7,92,4200,27,32,1,0,0,76.0
3,6,5,3,101.2,176.8,64.8,54.3,2395,6,108,7,3.5,2.8,8.8,101,5800,23,29,1,0,0,113.0
4,4,4,2,93.7,157.3,63.8,50.8,2128,6,98,4,3.03,3.39,7.6,102,5500,24,30,1,1,1,40.5
3,7,3,2,100.4,184.6,66.5,56.1,3296,5,181,7,3.43,3.27,9.0,152,5200,17,22,1,0,0,100.0
3,7,5,2,96.5,163.4,64.0,54.5,2010,6,92,3,2.91,3.41,9.2,76,6000,30,34,1,0,0,25.5
6,7,4,3,95.3,169.0,65.7,49.6,2385,2,70,2,3.33,3.255,9.4,101,6000,17,23,1,0,1,96.0
3,7,5,3,104.9,175.0,66.1,54.4,2670,6,140,7,3.76,3.16,8.0,120,5000,19,27,1,0,0,120.0
6,1,2,3,88.6,168.8,64.1,48.8,2548,6,130,7,3.47,2.68,9.0,111,5000,21,27,1,0,1,106.5
4,4,4,2,93.7,157.3,63.8,50.6,1967,6,90,5,2.97,3.23,9.4,68,5500,31,38,1,0,0,8.0
4,7,4,3,94.5,168.7,64.0,52.6,2204,6,98,5,3.19,3.03,9.0,70,4800,29,34,1,0,1,47.0
4,7,5,2,96.5,169.1,66.0,51.0,2293,6,110,5,3.15,3.58,9.1,100,5500,25,31,1,0,1,74.0
6,7,4,3,91.3,170.7,67.9,49.7,3139,5,181,7,3.43,3.27,7.8,200,5200,17,23,1,1,1,124.0
6,5,4,2,99.1,186.6,66.5,56.1,2658,6,121,7,3.54,3.07,9.31,110,5250,21,28,1,0,1,81.0
2,7,4,2,102.4,175.6,66.5,53.9,2458,6,122,7,3.31,3.54,8.7,92,4200,27,32,1,0,0,79.0
3,6,5,3,110.0,197.0,70.9,56.3,3505,5,209,7,3.62,3.39,8.0,182,5400,15,20,1,0,0,141.0
3,7,4,2,96.5,167.5,65.2,53.3,2289,6,110,3,3.15,3.58,9.0,86,5800,27,33,1,0,1,59.0
5,5,5,2,99.1,186.6,66.5,56.1,2695,6,121,7,3.54,3.07,9.3,110,5250,21,28,1,0,0,83.0
4,7,5,2,93.1,166.8,64.2,54.1,1945,6,91,5,3.03,3.15,9.0,68,5000,31,38,1,0,0,16.0
3,7,4,2,95.7,166.3,64.4,52.8,2275,6,110,6,3.27,3.35,22.5,56,4500,38,47,0,0,0,37.0
6,6,2,3,89.5,168.9,65.0,51.6,2800,5,194,7,3.74,2.9,9.5,207,5900,17,25,1,0,1,142.0
4,7,4,2,93.7,150.0,64.0,52.6,1956,6,92,3,2.91,3.41,9.2,76,6000,30,34,1,0,1,23.0
2,4,3,2,103.3,174.6,64.6,59.8,2535,6,122,5,3.34,3.46,8.5,88,5000,24,30,1,0,0,56.5
3,3,3,3,114.2,198.9,68.4,58.7,3485,6,152,6,3.7,3.52,21.0,95,4150,25,25,0,1,0,114.0
4,7,4,2,95.7,158.7,63.6,54.5,2040,6,92,5,3.05,3.03,9.0,62,4800,31,38,1,0,1,10.0
5,7,4,2,86.6,144.6,63.9,50.8,1819,6,92,3,2.91,3.41,9.2,76,6000,31,38,1,0,1,18.0
5,7,1,3,98.4,176.2,65.6,52.0,2536,6,146,7,3.62,3.5,9.3,116,4800,24,30,1,0,1,68.0
6,6,1,3,89.5,168.9,65.0,51.6,2756,5,194,7,3.74,2.9,9.5,207,5900,17,25,1,0,1,137.0
2,7,5,3,104.5,187.8,66.5,54.1,3131,5,171,7,3.27,3.35,9.2,156,5200,20,24,1,0,0,103.0
4,7,4,2,93.7,150.0,64.0,52.6,1837,6,79,3,2.91,3.07,10.1,60,5500,38,42,1,0,1,3.0
5,7,1,3,98.4,176.2,65.6,52.0,2540,6,146,7,3.62,3.5,9.3,116,4800,24,30,1,0,1,49.0
3,7,5,2,97.2,172.0,65.4,52.5,2190,6,108,5,3.62,2.64,9.5,82,4400,28,33,1,0,0,35.5
2,5,5,3,109.1,188.8,68.9,55.5,3062,6,141,7,3.78,3.15,9.5,114,5400,19,25,1,1,0,128.0
3,7,3,2,97.0,173.5,65.4,53.0,2455,6,108,7,3.62,2.64,9.0,94,5200,25,31,1,0,0,71.0
6,4,4,2,95.9,173.2,66.3,50.2,2811,6,156,1,3.6,3.9,7.0,145,5000,19,24,1,1,1,89.0
3,7,4,2,97.2,173.4,65.2,54.7,2324,6,120,5,3.33,3.47,8.5,97,5200,27,34,1,0,0,58.0
6,7,4,2,95.9,173.2,66.3,50.2,2833,6,156,4,3.58,3.86,7.0,145,5000,19,24,1,1,1,85.0
2,7,4,2,102.4,175.6,66.5,53.9,2414,6,122,7,3.31,3.54,8.7,92,4200,27,32,1,0,0,70.0
4,7,4,2,93.0,157.3,63.8,50.8,2145,6,98,4,3.03,3.39,7.6,102,5500,24,30,1,1,1,33.0
3,3,5,3,107.9,186.7,68.4,56.7,3075,6,120,7,3.46,3.19,8.4,97,5000,19,24,1,0,0,110.0
3,7,3,1,96.9,173.6,65.4,54.9,2420,6,108,5,3.62,2.64,9.0,82,4800,23,29,1,0,0,44.0
2,5,3,3,104.3,188.8,67.2,57.5,3042,6,141,7,3.78,3.15,9.5,114,5400,24,28,1,0,0,108.0
6,4,2,3,96.6,180.3,70.5,50.8,3685,3,234,7,3.46,3.1,8.3,155,4750,16,18,1,0,1,138.0
5,7,4,2,93.7,157.3,64.4,50.8,1944,6,92,5,2.97,3.23,9.4,68,5500,31,38,1,0,1,7.0
4,4,5,2,93.7,157.3,63.8,50.6,1989,6,90,5,2.97,3.23,9.4,68,5500,31,38,1,0,0,14.5
4,7,5,3,94.5,168.7,64.0,52.6,2265,6,98,7,3.24,3.08,9.4,112,6600,26,29,1,0,1,64.0
6,7,4,2,96.3,173.0,65.4,49.4,2328,6,122,5,3.35,3.46,8.5,88,5000,25,32,1,0,1,51.0
2,5,5,3,109.1,188.8,68.8,55.5,3049,6,141,7,3.78,3.15,8.7,160,5300,19,25,1,1,0,123.0
2,7,5,2,102.4,175.6,66.5,54.9,2480,6,110,6,3.27,3.35,22.5,73,4500,30,33,0,1,0,75.0
1,5,5,3,104.3,188.8,67.2,56.2,2912,6,141,7,3.78,3.15,9.5,114,5400,23,28,1,0,0,87.0
3,7,5,2,96.5,175.4,65.2,54.1,2304,6,110,3,3.15,3.58,9.0,86,5800,27,33,1,0,0,54.5
6,7,4,3,95.3,169.0,65.7,49.6,2500,2,80,7,3.33,3.255,9.4,135,6000,16,23,1,0,1,102.0
5,7,4,1,93.3,157.3,63.8,55.7,2240,6,108,5,3.62,2.64,8.7,73,4400,26,31,1,0,1,32.0
2,7,5,2,96.3,172.4,65.4,51.6,2403,6,110,4,3.17,3.46,7.5,116,5500,23,30,1,0,0,62.5
2,4,5,3,115.6,202.6,71.7,56.3,3770,4,183,6,3.58,3.64,21.5,123,4350,22,25,0,1,0,134.0
4,7,5,2,96.3,172.4,65.4,51.6,2403,6,110,4,3.17,3.46,7.5,116,5500,23,30,1,1,0,62.5
3,7,3,2,96.5,157.1,63.9,58.3,2024,6,92,3,2.92,3.41,9.2,76,6000,30,34,1,0,0,25.5
4,4,4,2,93.7,157.3,63.8,50.8,1876,6,90,5,2.97,3.23,9.41,68,5500,37,41,1,0,1,4.5
3,6,4,1,99.5,178.2,67.9,52.0,3053,4,131,7,3.13,3.4,7.0,160,5500,16,22,1,1,1,117.0
3,7,5,2,100.4,184.6,66.5,55.1,3060,5,181,7,3.43,3.27,9.0,152,5200,19,25,1,0,0,94.5
2,5,3,3,104.3,188.8,67.2,57.5,3034,6,141,7,3.78,3.15,9.5,114,5400,23,28,1,0,0,92.0
2,4,5,3,110.0,190.9,70.3,56.5,3515,4,183,6,3.58,3.64,21.5,123,4350,22,25,0,1,0,130.0
3,6,5,2,100.4,180.2,66.9,55.1,2579,6,97,6,3.01,3.4,23.0,68,4500,33,38,0,1,0,97.0
3,3,5,3,108.0,186.7,68.3,56.0,3130,6,134,7,3.61,3.21,7.0,142,5600,18,24,1,1,0,119.0
3,2,5,3,113.0,199.6,69.6,52.8,4066,5,258,7,3.63,4.17,8.1,176,4750,15,19,1,0,0,135.0
5,7,2,3,98.4,176.2,65.6,53.0,2975,6,146,7,3.62,3.5,9.3,116,4800,24,30,1,0,1,115.0
